Posted On,BHK,Rent,Size,Floor,Area Locality,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
2022-06-08,1,4700,250,Ground out of 1,"Dash Drone, Rajarhat Newtown",Kolkata,1,0,1,0,0,1,0,0,1
2022-05-06,1,4500,450,1 out of 2,"Rabindra Pally, Keshtopur",Kolkata,1,0,1,0,1,1,0,0,1
2022-06-30,1,6000,300,Ground out of 1,Salt Lake City Sector 1,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-24,2,16000,750,1 out of 3,"Rajdanga Gardens, Kasba",Kolkata,2,0,1,0,1,1,0,0,1
2022-07-01,1,4700,250,1 out of 2,Kaikhali,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-17,2,14000,751,3 out of 3,Baghajatin,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-26,2,9000,900,Ground out of 2,Lake Town,Kolkata,1,1,0,1,0,0,0,0,1
2022-06-23,2,5000,400,1 out of 3,Keshtopur,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-13,2,17500,1000,Ground out of 2,Salt Lake City,Kolkata,2,1,0,1,0,1,0,0,0
2022-06-11,2,8500,1000,Ground out of 1,South Baksara,Kolkata,1,1,0,0,1,1,0,0,1
2022-05-26,3,15000,1500,1 out of 1,"Chandannagar, Hooghly-Chinsurah",Kolkata,2,1,0,1,0,0,1,0,1
2022-04-25,2,12500,750,1 out of 3,"Sukhpally, Haltu",Kolkata,2,1,0,0,1,1,0,0,1
2022-05-11,1,13000,1200,2 out of 4,Kasba,Kolkata,1,0,1,1,0,1,0,0,1
2022-05-06,2,8000,700,Ground out of 1,"Sakher Bazar, Purba Barisha",Kolkata,1,0,1,0,1,1,0,0,1
2022-05-10,2,8000,700,4 out of 4,Garia Dhalua Nabapally,Kolkata,1,1,0,0,0,1,0,0,1
2022-05-21,2,8000,1000,Ground out of 2,"Chinar Park, Rajarhat",Kolkata,1,0,1,1,0,1,0,0,1
2022-06-12,2,7000,1200,1 out of 3,Konnagar,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-05,2,2200,550,2 out of 3,Behala silpara,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-25,2,8000,800,Ground out of 4,Vip Road,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-11,2,5500,280,1 out of 3,New Barrakpur,Kolkata,1,0,1,0,1,0,0,0,1
2022-07-04,3,20000,1100,Ground out of 2,"Thakurpukur, Kolkata",Kolkata,3,0,1,0,1,1,0,0,1
2022-05-10,2,7000,950,Ground out of 2,Kaikhali,Kolkata,1,0,1,0,1,1,0,0,0
2022-05-13,1,3500,250,1 out of 2,"Phool Bagan, Kankurgachi",Kolkata,1,0,1,0,0,1,0,0,1
2022-05-10,2,5000,1000,Ground out of 2,Hindmotor,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-30,3,20000,1000,Ground out of 2,Salt Lake City Sector 1,Kolkata,2,1,0,1,0,1,0,0,1
2022-05-27,2,7000,650,Ground out of 2,Howrah,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-08,2,10000,700,1 out of 2,Benia Pukur,Kolkata,2,0,1,0,1,1,0,0,1
2022-05-15,2,7000,700,Ground out of 3,Baguiati,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-29,3,12000,1000,Ground out of 3,E M Bypass,Kolkata,2,0,1,1,0,1,0,0,1
2022-05-13,2,14500,900,1 out of 4,"Panchanan Tola, Thakurpukur",Kolkata,2,1,0,0,1,0,0,0,1
2022-05-25,1,6000,700,1 out of 2,"VIP Nagar, E M Bypass",Kolkata,1,0,1,0,1,1,0,0,1
2022-07-04,2,9500,700,1 out of 2,Jadavpur,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-27,2,10000,450,2 out of 1,Behala,Kolkata,2,1,0,1,0,1,0,0,1
2022-05-06,1,3500,120,Ground out of 3,Dum Dum Cantonment,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-01,2,9000,800,1 out of 2,"New Garia, Garia",Kolkata,2,0,1,1,0,1,0,0,1
2022-06-07,3,40000,1220,2 out of 3,Salt Lake City Sector 3,Kolkata,2,1,0,0,1,1,0,0,1
2022-06-23,3,16500,1100,Ground out of 3,Mominpur,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-12,3,8000,700,Ground out of 3,"Halisahar Station Road, Kanchrapara",Kolkata,2,1,0,0,1,0,1,0,1
2022-05-10,2,12000,800,Ground out of 3,Santoshpur,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-27,2,6500,670,2 out of 2,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,1,0,1,0,1,0,1,0,1
2022-04-30,4,40000,1300,1 out of 2,Ballygunge,Kolkata,3,0,1,0,1,1,0,0,1
2022-05-06,1,5000,190,Ground out of 2,Baguihati,Kolkata,1,0,1,1,0,1,0,0,1
2022-05-24,2,9000,700,Ground out of 2,Kabardanga,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-17,1,7000,240,Ground out of 4,Jadavpur,Kolkata,1,1,0,0,1,0,0,0,1
2022-05-19,2,18000,850,2 out of 4,Behala Chowrasta,Kolkata,1,1,0,1,0,0,1,0,1
2022-05-26,1,9000,950,1 out of 2,Haltu,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-11,1,5500,450,1 out of 2,Botanical Garden Area,Kolkata,1,1,0,0,0,1,0,0,1
2022-06-08,2,7500,800,Ground out of 2,Bonhooghly,Kolkata,1,1,0,0,1,0,0,0,1
2022-07-02,2,4000,600,1 out of 2,Nilgung Old Bazar,Kolkata,1,1,0,0,1,1,0,0,1
2022-05-30,3,10500,800,2 out of 2,"Teghoria, Baguiati",Kolkata,2,1,0,0,1,0,0,0,1
2022-07-03,3,15000,1100,Ground out of 2,Survey Park,Kolkata,2,1,0,0,1,1,0,0,1
2022-06-16,2,15000,800,Ground out of 2,Baguiati,Kolkata,1,1,0,0,0,1,0,0,1
2022-05-13,1,50000,2200,2 out of 5,Kanchrapara,Kolkata,3,0,1,0,0,1,0,0,1
2022-06-08,2,12000,950,1 out of 1,"Jote Shibrampur, Joth Shibrampur",Kolkata,2,1,0,0,1,0,0,0,1
2022-04-25,2,11000,550,2 out of 3,Ultadanga,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-04,2,12000,1800,1 out of 1,Birati,Kolkata,2,1,0,0,1,0,0,0,1
2022-05-11,2,8000,1000,Ground out of 2,"Chinar Park, Rajarhat",Kolkata,1,0,1,0,0,1,0,0,1
2022-05-27,2,18000,600,Ground out of 3,Bagha Jatin Pally,Kolkata,2,0,1,1,0,1,0,0,1
2022-04-24,2,8000,750,2 out of 4,rishi aurobindo sarani neat NIOH hospital,Kolkata,2,1,0,1,0,1,0,0,1
2022-05-10,2,7000,685,2 out of 3,Dum Dum Metro,Kolkata,1,0,1,0,1,1,0,0,0
2022-05-24,1,6500,44,Ground out of 1,Baranagar,Kolkata,1,1,0,0,0,1,0,0,1
2022-06-10,4,13000,1200,Ground out of 2,Tollygunge,Kolkata,1,1,0,0,1,1,0,0,1
2022-05-05,2,9000,500,Ground out of 2,Airport Near Gate No. 21/2,Kolkata,1,1,0,0,1,0,0,0,1
2022-04-29,4,10000,1110,2 out of 2,Purbasa,Kolkata,2,1,0,0,1,1,0,0,1
2022-05-05,2,12000,1000,1 out of 3,Jadavpur,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-26,2,5000,392,Ground out of 2,Jadavpur,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-09,2,6000,700,1 out of 2,Barasat-Barrackpore Road,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-19,1,5200,750,2 out of 4,Keshtopur,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-07,3,15000,1500,1 out of 2,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,2,0,1,0,1,0,1,0,1
2022-04-29,2,9000,900,Ground out of 1,Keshtopur,Kolkata,2,0,1,0,1,1,0,0,1
2022-07-03,1,24000,710,1 out of 1,Salt Lake City Sector 1,Kolkata,1,0,1,0,0,0,0,0,0
2022-05-26,1,5500,400,Ground out of 3,jadavpur central park east,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-24,1,10000,700,1 out of 2,Garia,Kolkata,1,1,0,0,1,0,0,0,1
2022-07-03,2,15000,1000,Ground out of 2,Tn Chatterjee Street,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-12,1,4700,250,1 out of 2,Kaikhali,Kolkata,1,0,1,0,0,1,0,0,1
2022-05-14,1,5000,500,Ground out of 3,Bata Nagar,Kolkata,1,1,0,1,0,1,0,0,1
2022-05-20,2,5000,450,2 out of 2,Birati,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-27,3,15000,1400,1 out of 3,Survey Park,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-14,1,5000,500,1 out of 1,Bata Nagar,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-17,2,6000,700,Ground out of 1,Hatiara Extention,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-04,3,18000,1200,1 out of 3,Salt Lake City Sector 1,Kolkata,1,1,0,1,0,1,0,0,1
2022-06-21,2,8000,450,1 out of 2,Andul,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-23,1,13000,500,2 out of 2,Salt Lake City Sector 2,Kolkata,1,1,0,0,0,0,0,0,0
2022-07-02,2,7500,400,Ground out of 1,locality,Kolkata,1,1,0,0,1,1,0,0,1
2022-04-24,3,12000,1000,Ground out of 1,Khardah,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-04,2,11000,750,Ground out of 1,Parnasree Pally,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-24,1,6000,450,Ground out of 2,Baghajatin,Kolkata,1,0,1,0,1,0,1,0,1
2022-06-19,3,20000,1000,1 out of 2,Salt Lake City Sector 3,Kolkata,2,1,0,0,1,0,0,0,0
2022-07-03,2,7000,500,1 out of 1,sarsuna banerjee para,Kolkata,2,1,0,0,1,0,0,0,1
2022-06-19,4,30000,1600,Ground out of 1,Salt Lake City Sector 3,Kolkata,2,1,0,0,1,0,0,0,0
2022-07-02,2,7500,550,Ground out of 1,Near Seven Tanks Road Dumdum Station,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-21,1,6500,550,1 out of 2,Jyangra,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-04,1,3000,200,2 out of 3,Barasat,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-30,2,5200,650,1 out of 2,Sukchar,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-22,2,25000,1000,1 out of 1,"Tagore Park, Kasba",Kolkata,2,0,1,0,0,1,0,0,1
2022-05-27,2,12500,680,Ground out of 2,Barrackpore,Kolkata,2,1,0,0,1,1,0,0,1
2022-06-17,2,8500,720,Ground out of 1,"Silpara, Purba Barisha",Kolkata,2,1,0,0,1,1,0,0,1
2022-06-20,2,3500,500,4 out of 5,Konnagar,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-30,2,7000,800,Ground out of 2,Madhyam Gram,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-19,1,3000,160,Ground out of 1,"Kudghat, Ashok Nagar",Kolkata,1,0,1,0,1,1,0,0,1
2022-06-19,2,14000,1200,1 out of 2,Salt Lake City Sector 5,Kolkata,2,1,0,0,1,1,0,0,0
2022-06-17,1,18000,700,Ground out of 4,Salt Lake City Sector 3,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-13,1,3500,1000,Ground out of 1,Dum Dum Cantonment,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-16,2,16000,1250,Ground out of 1,Kasba,Kolkata,2,0,1,0,1,1,0,0,0
2022-05-06,4,35000,1600,Ground out of 3,Salt Lake City,Kolkata,3,0,1,0,1,1,0,0,1
2022-06-04,2,21000,700,Ground out of 2,Lake Gardens,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-16,1,4500,450,Ground out of 2,"Silpara, Purba Barisha",Kolkata,1,0,1,0,1,1,0,0,1
2022-06-04,2,15000,839,1 out of 3,Howrah,Kolkata,2,0,1,1,0,1,0,0,1
2022-07-01,1,4500,230,Ground out of 3,Birati,Kolkata,1,0,1,0,1,1,0,0,1
